Fecha,Edad,Riesgo
2/1/2021 0:00:00,11,Alto Leve
4/1/2021 0:00:00,45,Alto Moderado
4/1/2021 0:00:00,34,Alto Moderado
4/1/2021 0:00:00,25,Alto Leve
4/1/2021 0:00:00,27,Alto Leve
4/1/2021 0:00:00,26,Alto Leve
4/1/2021 0:00:00,43,Alto Moderado
4/1/2021 0:00:00,57,Alto Medio
4/1/2021 0:00:00,63,Alto Riesgo
4/1/2021 0:00:00,15,Alto Leve
4/1/2021 0:00:00,55,Alto Medio
4/1/2021 0:00:00,47,Alto Medio
4/1/2021 0:00:00,33,Alto Moderado
4/1/2021 0:00:00,29,Alto Leve
4/1/2021 0:00:00,28,Alto Leve
4/1/2021 0:00:00,26,Alto Leve
4/1/2021 0:00:00,23,Alto Leve
4/1/2021 0:00:00,22,Alto Leve
4/1/2021 0:00:00,30,Alto Leve
4/1/2021 0:00:00,50,Alto Medio
4/1/2021 0:00:00,39,Alto Moderado
4/1/2021 0:00:00,34,Alto Moderado
4/1/2021 0:00:00,56,Alto Medio
4/1/2021 0:00:00,27,Alto Leve
4/1/2021 0:00:00,25,Alto Leve
4/1/2021 0:00:00,53,Alto Medio
4/1/2021 0:00:00,46,Alto Medio
4/1/2021 0:00:00,30,Alto Leve
4/1/2021 0:00:00,47,Alto Medio
4/1/2021 0:00:00,55,Alto Medio
4/1/2021 0:00:00,20,Alto Leve
4/1/2021 0:00:00,30,Alto Leve
4/1/2021 0:00:00,32,Alto Moderado
4/1/2021 0:00:00,57,Alto Medio
4/1/2021 0:00:00,44,Alto Moderado
4/1/2021 0:00:00,46,Alto Medio
4/1/2021 0:00:00,50,Alto Medio
4/1/2021 0:00:00,50,Alto Medio
4/1/2021 0:00:00,45,Alto Moderado
4/1/2021 0:00:00,30,Alto Leve
4/1/2021 0:00:00,47,Alto Medio
4/1/2021 0:00:00,34,Alto Moderado
4/1/2021 0:00:00,32,Alto Moderado
4/1/2021 0:00:00,24,Alto Leve
4/1/2021 0:00:00,23,Alto Leve
4/1/2021 0:00:00,64,Alto Riesgo
4/1/2021 0:00:00,38,Alto Moderado
4/1/2021 0:00:00,37,Alto Moderado
4/1/2021 0:00:00,15,Alto Leve
4/1/2021 0:00:00,18,Alto Leve
4/1/2021 0:00:00,45,Alto Moderado
4/1/2021 0:00:00,15,Alto Leve
4/1/2021 0:00:00,42,Alto Moderado
4/1/2021 0:00:00,45,Alto Moderado
4/1/2021 0:00:00,43,Alto Moderado
4/1/2021 0:00:00,40,Alto Moderado
4/1/2021 0:00:00,51,Alto Medio
4/1/2021 0:00:00,35,Alto Moderado
4/1/2021 0:00:00,58,Alto Medio
4/1/2021 0:00:00,44,Alto Moderado
4/1/2021 0:00:00,49,Alto Medio
4/1/2021 0:00:00,41,Alto Moderado
4/1/2021 0:00:00,51,Alto Medio
4/1/2021 0:00:00,54,Alto Medio
4/1/2021 0:00:00,24,Alto Leve
4/1/2021 0:00:00,41,Alto Moderado
4/1/2021 0:00:00,66,Alto Riesgo
4/1/2021 0:00:00,89,Alto Riesgo
4/1/2021 0:00:00,32,Alto Moderado
4/1/2021 0:00:00,39,Alto Moderado
4/1/2021 0:00:00,22,Alto Leve
4/1/2021 0:00:00,9,Alto Leve
4/1/2021 0:00:00,31,Alto Moderado
4/1/2021 0:00:00,80,Alto Riesgo
4/1/2021 0:00:00,25,Alto Leve
4/1/2021 0:00:00,33,Alto Moderado
4/1/2021 0:00:00,31,Alto Moderado
4/1/2021 0:00:00,21,Alto Leve
4/1/2021 0:00:00,61,Alto Riesgo
4/1/2021 0:00:00,59,Alto Medio
4/1/2021 0:00:00,32,Alto Moderado
4/1/2021 0:00:00,33,Alto Moderado
4/1/2021 0:00:00,29,Alto Leve
4/1/2021 0:00:00,55,Alto Medio
4/1/2021 0:00:00,29,Alto Leve
4/1/2021 0:00:00,23,Alto Leve
4/1/2021 0:00:00,55,Alto Medio
4/1/2021 0:00:00,15,Alto Leve
4/1/2021 0:00:00,31,Alto Moderado
4/1/2021 0:00:00,33,Alto Moderado
4/1/2021 0:00:00,31,Alto Moderado
4/1/2021 0:00:00,35,Alto Moderado
4/1/2021 0:00:00,30,Alto Leve
4/1/2021 0:00:00,21,Alto Leve
4/1/2021 0:00:00,58,Alto Medio
4/1/2021 0:00:00,58,Alto Medio
4/1/2021 0:00:00,23,Alto Leve
4/1/2021 0:00:00,18,Alto Leve
4/1/2021 0:00:00,51,Alto Medio
4/1/2021 0:00:00,33,Alto Moderado
4/1/2021 0:00:00,61,Alto Riesgo
4/1/2021 0:00:00,43,Alto Moderado
4/1/2021 0:00:00,36,Alto Moderado
4/1/2021 0:00:00,25,Alto Leve
4/1/2021 0:00:00,62,Alto Riesgo
4/1/2021 0:00:00,37,Alto Moderado
4/1/2021 0:00:00,52,Alto Medio
4/1/2021 0:00:00,17,Alto Leve
4/1/2021 0:00:00,59,Alto Medio
4/1/2021 0:00:00,23,Alto Leve
4/1/2021 0:00:00,31,Alto Moderado
4/1/2021 0:00:00,66,Alto Riesgo
4/1/2021 0:00:00,42,Alto Moderado
4/1/2021 0:00:00,39,Alto Moderado
4/1/2021 0:00:00,53,Alto Medio
4/1/2021 0:00:00,52,Alto Medio
4/1/2021 0:00:00,30,Alto Leve
4/1/2021 0:00:00,20,Alto Leve
4/1/2021 0:00:00,37,Alto Moderado
4/1/2021 0:00:00,67,Alto Riesgo
4/1/2021 0:00:00,41,Alto Moderado
4/1/2021 0:00:00,49,Alto Medio
4/1/2021 0:00:00,51,Alto Medio
4/1/2021 0:00:00,35,Alto Moderado
4/1/2021 0:00:00,34,Alto Moderado
4/1/2021 0:00:00,76,Alto Riesgo
4/1/2021 0:00:00,28,Alto Leve
4/1/2021 0:00:00,76,Alto Riesgo
4/1/2021 0:00:00,82,Alto Riesgo
4/1/2021 0:00:00,29,Alto Leve
4/1/2021 0:00:00,40,Alto Moderado
4/1/2021 0:00:00,49,Alto Medio
4/1/2021 0:00:00,64,Alto Riesgo
4/1/2021 0:00:00,42,Alto Moderado
4/1/2021 0:00:00,33,Alto Moderado
4/1/2021 0:00:00,28,Alto Leve
4/1/2021 0:00:00,26,Alto Leve
4/1/2021 0:00:00,12,Alto Leve
4/1/2021 0:00:00,32,Alto Moderado
4/1/2021 0:00:00,41,Alto Moderado
4/1/2021 0:00:00,30,Alto Leve
4/1/2021 0:00:00,55,Alto Medio
4/1/2021 0:00:00,54,Alto Medio
4/1/2021 0:00:00,53,Alto Medio
4/1/2021 0:00:00,27,Alto Leve
4/1/2021 0:00:00,32,Alto Moderado
4/1/2021 0:00:00,58,Alto Medio
4/1/2021 0:00:00,26,Alto Leve
4/1/2021 0:00:00,38,Alto Moderado
4/1/2021 0:00:00,41,Alto Moderado
4/1/2021 0:00:00,38,Alto Moderado
4/1/2021 0:00:00,54,Alto Medio
4/1/2021 0:00:00,31,Alto Moderado
4/1/2021 0:00:00,32,Alto Moderado
4/1/2021 0:00:00,22,Alto Leve
4/1/2021 0:00:00,17,Alto Leve
4/1/2021 0:00:00,11,Alto Leve
5/1/2021 0:00:00,43,Alto Moderado
5/1/2021 0:00:00,60,Alto Medio
5/1/2021 0:00:00,11,Alto Leve
5/1/2021 0:00:00,44,Alto Moderado
5/1/2021 0:00:00,44,Alto Moderado
5/1/2021 0:00:00,61,Alto Riesgo
5/1/2021 0:00:00,77,Alto Riesgo
5/1/2021 0:00:00,33,Alto Moderado
5/1/2021 0:00:00,38,Alto Moderado
5/1/2021 0:00:00,52,Alto Medio
5/1/2021 0:00:00,65,Alto Riesgo
5/1/2021 0:00:00,74,Alto Riesgo
5/1/2021 0:00:00,27,Alto Leve
5/1/2021 0:00:00,28,Alto Leve
5/1/2021 0:00:00,40,Alto Moderado
5/1/2021 0:00:00,72,Alto Riesgo
5/1/2021 0:00:00,2,Alto Leve
5/1/2021 0:00:00,65,Alto Riesgo
5/1/2021 0:00:00,54,Alto Medio
5/1/2021 0:00:00,20,Alto Leve
5/1/2021 0:00:00,36,Alto Moderado
5/1/2021 0:00:00,34,Alto Moderado
5/1/2021 0:00:00,44,Alto Moderado
5/1/2021 0:00:00,77,Alto Riesgo
5/1/2021 0:00:00,54,Alto Medio
5/1/2021 0:00:00,55,Alto Medio
5/1/2021 0:00:00,1,Alto Leve
5/1/2021 0:00:00,32,Alto Moderado
5/1/2021 0:00:00,2,Alto Leve
5/1/2021 0:00:00,34,Alto Moderado
5/1/2021 0:00:00,63,Alto Riesgo
5/1/2021 0:00:00,17,Alto Leve
5/1/2021 0:00:00,27,Alto Leve
5/1/2021 0:00:00,40,Alto Moderado
5/1/2021 0:00:00,80,Alto Riesgo
5/1/2021 0:00:00,68,Alto Riesgo
5/1/2021 0:00:00,84,Alto Riesgo
5/1/2021 0:00:00,86,Alto Riesgo
5/1/2021 0:00:00,42,Alto Moderado
5/1/2021 0:00:00,88,Alto Riesgo
5/1/2021 0:00:00,54,Alto Medio
5/1/2021 0:00:00,51,Alto Medio
5/1/2021 0:00:00,82,Alto Riesgo
5/1/2021 0:00:00,35,Alto Moderado
5/1/2021 0:00:00,18,Alto Leve
5/1/2021 0:00:00,75,Alto Riesgo
5/1/2021 0:00:00,48,Alto Medio
5/1/2021 0:00:00,58,Alto Medio
5/1/2021 0:00:00,62,Alto Riesgo
5/1/2021 0:00:00,56,Alto Medio
5/1/2021 0:00:00,60,Alto Medio
5/1/2021 0:00:00,40,Alto Moderado
5/1/2021 0:00:00,52,Alto Medio
5/1/2021 0:00:00,25,Alto Leve
5/1/2021 0:00:00,29,Alto Leve
5/1/2021 0:00:00,26,Alto Leve
5/1/2021 0:00:00,38,Alto Moderado
5/1/2021 0:00:00,53,Alto Medio
5/1/2021 0:00:00,59,Alto Medio
5/1/2021 0:00:00,67,Alto Riesgo
5/1/2021 0:00:00,58,Alto Medio
5/1/2021 0:00:00,63,Alto Riesgo
5/1/2021 0:00:00,92,Alto Riesgo
5/1/2021 0:00:00,74,Alto Riesgo
5/1/2021 0:00:00,31,Alto Moderado
5/1/2021 0:00:00,28,Alto Leve
5/1/2021 0:00:00,49,Alto Medio
5/1/2021 0:00:00,94,Alto Riesgo
5/1/2021 0:00:00,29,Alto Leve
5/1/2021 0:00:00,28,Alto Leve
5/1/2021 0:00:00,71,Alto Riesgo
5/1/2021 0:00:00,25,Alto Leve
5/1/2021 0:00:00,52,Alto Medio
5/1/2021 0:00:00,34,Alto Moderado
5/1/2021 0:00:00,39,Alto Moderado
5/1/2021 0:00:00,20,Alto Leve
5/1/2021 0:00:00,48,Alto Medio
5/1/2021 0:00:00,67,Alto Riesgo
5/1/2021 0:00:00,40,Alto Moderado
5/1/2021 0:00:00,72,Alto Riesgo
5/1/2021 0:00:00,28,Alto Leve
5/1/2021 0:00:00,48,Alto Medio
5/1/2021 0:00:00,55,Alto Medio
5/1/2021 0:00:00,51,Alto Medio
5/1/2021 0:00:00,65,Alto Riesgo
5/1/2021 0:00:00,78,Alto Riesgo
5/1/2021 0:00:00,38,Alto Moderado
5/1/2021 0:00:00,62,Alto Riesgo
5/1/2021 0:00:00,32,Alto Moderado
5/1/2021 0:00:00,3,Alto Leve
5/1/2021 0:00:00,3,Alto Leve
5/1/2021 0:00:00,4,Alto Leve
5/1/2021 0:00:00,6,Alto Leve
5/1/2021 0:00:00,3,Alto Leve
5/1/2021 0:00:00,37,Alto Moderado
5/1/2021 0:00:00,56,Alto Medio
5/1/2021 0:00:00,72,Alto Riesgo
5/1/2021 0:00:00,70,Alto Riesgo
5/1/2021 0:00:00,63,Alto Riesgo
5/1/2021 0:00:00,54,Alto Medio
5/1/2021 0:00:00,56,Alto Medio
5/1/2021 0:00:00,18,Alto Leve
5/1/2021 0:00:00,71,Alto Riesgo
5/1/2021 0:00:00,35,Alto Moderado
5/1/2021 0:00:00,15,Alto Leve
5/1/2021 0:00:00,4,Alto Leve
5/1/2021 0:00:00,3,Alto Leve
5/1/2021 0:00:00,38,Alto Moderado
5/1/2021 0:00:00,75,Alto Riesgo
5/1/2021 0:00:00,31,Alto Moderado
5/1/2021 0:00:00,35,Alto Moderado
5/1/2021 0:00:00,9,Alto Leve
5/1/2021 0:00:00,58,Alto Medio
5/1/2021 0:00:00,75,Alto Riesgo
5/1/2021 0:00:00,63,Alto Riesgo
5/1/2021 0:00:00,36,Alto Moderado
5/1/2021 0:00:00,91,Alto Riesgo
5/1/2021 0:00:00,30,Alto Leve
